City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,punahana,27.8667,77.2,303.44,68,90,1.16,IN,1719792071
309,qarah bagh,34.9402,61.7759,295.75,35,0,9.44,AF,1719792073
310,punta cana,18.5818,-68.4043,301.02,89,40,5.14,DO,1719792076
311,luderitz,-26.6481,15.1594,285.27,88,25,1.72,NA,1719792036
312,polyarnyy,69.1989,33.4478,282.92,93,100,1.75,RU,1719792079
313,mpika,-11.8343,31.4529,284.69,68,2,2.15,ZM,1719792080
314,pallasovka,50.05,46.8833,290.35,52,10,1.68,RU,1719792082
315,torrington,41.8007,-73.1212,295.61,96,66,0.89,US,1719792083
316,senador pompeu,-5.5881,-39.3717,296.36,59,34,1.21,BR,1719792085
317,kulhudhuffushi,6.6221,73.07,301.41,78,100,4.94,MV,1719792087
318,kununurra,-15.7667,128.7333,301.14,51,25,3.09,AU,1719792089
319,port douglas,-16.4833,145.4667,297.25,70,46,4.51,AU,1719792090
320,darwin,-12.4611,130.8418,300.34,63,0,5.66,AU,1719791852
321,nova vicosa,-17.8919,-39.3719,296.02,84,21,2.46,BR,1719792093
322,andergrove,-21.0833,149.1833,297.95,77,0,1.02,AU,1719792095
323,rocky mount,35.9382,-77.7905,300.87,90,100,3.07,US,1719792097
324,guixi,28.2886,117.2133,297.8,99,100,1.22,CN,1719792098
325,flying fish cove,-10.4217,105.6791,296.97,100,100,5.66,CX,1719792099
326,belmonte,-15.8631,-38.8828,295.79,79,6,2.18,BR,1719792101
327,nayoro,44.3506,142.4578,290.12,97,100,1.43,JP,1719792103
328,madara,11.7798,10.4479,303.32,49,75,5.86,NG,1719792104
329,mont-laurier,46.5501,-75.4993,287.8,74,91,4.47,CA,1719792106
330,meadow lakes,61.6247,-149.6011,292.09,88,91,2.78,US,1719792107
331,aksu,41.1231,80.2644,298.38,45,100,1.81,CN,1719792109
332,mae hong son,19.3003,97.9685,297.18,99,100,1.17,TH,1719792063
333,walvis bay,-22.9575,14.5053,287.09,89,0,1.03,NA,1719792112
334,parsberg,49.1608,11.7206,289.33,88,100,2.57,DE,1719792113
335,mount isa,-20.7333,139.5,290.02,72,88,7.72,AU,1719792115
